FID	IID	Rivername	Region	Lat	Lon	Dataset
BAD	BAD100816SOBAD162F09_G03	Baddeck	NorthAm	46.1	-60.83888889	May 2021 5700 Recluster
BAD	BAD100816SOBAD162G05_H03	Baddeck	NorthAm	46.1	-60.83888889	May 2021 5700 Recluster
BAD	BAD100816SOBAD162G08_B04	Baddeck	NorthAm	46.1	-60.83888889	May 2021 5700 Recluster
BAD	BAD100816SOBAD162H01_D04	Baddeck	NorthAm	46.1	-60.83888889	May 2021 5700 Recluster
BAD	BAD100816SOBAD162H02_E04	Baddeck	NorthAm	46.1	-60.83888889	May 2021 5700 Recluster
BAD	BAD100816SOBAD162H04_F04	Baddeck	NorthAm	46.1	-60.83888889	May 2021 5700 Recluster
BAD	BAD100816SOBAD162H05_G04	Baddeck	NorthAm	46.1	-60.83888889	May 2021 5700 Recluster
BAD	BAD100816SOBAD162H06_H04	Baddeck	NorthAm	46.1	-60.83888889	May 2021 5700 Recluster
BAD	BAD100816SOBAD162H07_A04	Baddeck	NorthAm	46.1	-60.83888889	May 2021 5700 Recluster
BAD	BAD100816SOBAD162H08_C04	Baddeck	NorthAm	46.1	-60.83888889	May 2021 5700 Recluster
BDL	BDL1_1_10_B02	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	BDL1_1_11_C02	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	BDL1_1_12_D02	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	BDL1_1_13_E02	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	BDL1_1_14_F02	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	BDL1_1_15_G02	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	BDL1_1_16_H02	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	BDL1_1_17_A03	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	BDL1_1_18_B03	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	BDL1_1_1_A01	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	BDL1_1_20_C03	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	BDL1_1_21_D03	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
